program,file,type,result,time_ms
yuarel,symcc-unsat-0.smt2,unsat,sat,2275
yuarel,symcc-unsat-10.smt2,unsat,sat,4218
yuarel,symcc-unsat-11.smt2,unsat,timeout,60149
yuarel,symcc-unsat-12.smt2,unsat,sat,8725
yuarel,symcc-unsat-13.smt2,unsat,timeout,60071
yuarel,symcc-unsat-14.smt2,unsat,timeout,60068
yuarel,symcc-unsat-15.smt2,unsat,timeout,60124
yuarel,symcc-unsat-16.smt2,unsat,timeout,60082
yuarel,symcc-unsat-17.smt2,unsat,timeout,60063
yuarel,symcc-unsat-18.smt2,unsat,timeout,60065
yuarel,symcc-unsat-19.smt2,unsat,timeout,60089
yuarel,symcc-unsat-1.smt2,unsat,sat,2906
yuarel,symcc-unsat-20.smt2,unsat,timeout,60138
yuarel,symcc-unsat-21.smt2,unsat,timeout,60067
yuarel,symcc-unsat-22.smt2,unsat,timeout,60082
yuarel,symcc-unsat-23.smt2,unsat,timeout,60077
yuarel,symcc-unsat-24.smt2,unsat,timeout,60061
yuarel,symcc-unsat-25.smt2,unsat,timeout,60069
yuarel,symcc-unsat-26.smt2,unsat,timeout,60110
yuarel,symcc-unsat-27.smt2,unsat,timeout,60478
yuarel,symcc-unsat-28.smt2,unsat,timeout,60211
yuarel,symcc-unsat-29.smt2,unsat,unknown,5787
yuarel,symcc-unsat-2.smt2,unsat,sat,17344
yuarel,symcc-unsat-30.smt2,unsat,unknown,2136
yuarel,symcc-unsat-31.smt2,unsat,unknown,1917
yuarel,symcc-unsat-32.smt2,unsat,unknown,2523
yuarel,symcc-unsat-33.smt2,unsat,unknown,2567
yuarel,symcc-unsat-34.smt2,unsat,unknown,3458
yuarel,symcc-unsat-35.smt2,unsat,unknown,2764
yuarel,symcc-unsat-36.smt2,unsat,unknown,2437
yuarel,symcc-unsat-37.smt2,unsat,unknown,7644
yuarel,symcc-unsat-38.smt2,unsat,unknown,5214
yuarel,symcc-unsat-39.smt2,unsat,unknown,6771
yuarel,symcc-unsat-3.smt2,unsat,sat,12326
yuarel,symcc-unsat-40.smt2,unsat,unknown,5793
yuarel,symcc-unsat-41.smt2,unsat,unknown,8458
yuarel,symcc-unsat-42.smt2,unsat,unknown,2099
yuarel,symcc-unsat-43.smt2,unsat,unknown,2837
yuarel,symcc-unsat-44.smt2,unsat,unknown,5606
yuarel,symcc-unsat-45.smt2,unsat,unknown,5422
yuarel,symcc-unsat-46.smt2,unsat,unknown,5391
yuarel,symcc-unsat-47.smt2,unsat,unknown,4924
yuarel,symcc-unsat-48.smt2,unsat,unknown,4854
yuarel,symcc-unsat-49.smt2,unsat,unknown,5628
yuarel,symcc-unsat-4.smt2,unsat,sat,21837
yuarel,symcc-unsat-5.smt2,unsat,sat,37708
yuarel,symcc-unsat-6.smt2,unsat,sat,56642
yuarel,symcc-unsat-7.smt2,unsat,sat,18700
yuarel,symcc-unsat-8.smt2,unsat,sat,27341
yuarel,symcc-unsat-9.smt2,unsat,sat,52429
